total_kv_created_bytes,total_stored_bytes,hbm_used_peak,appliance_used_peak,cxl_used_peak,nvme_used_peak,hbm_miss_count,simulated_stall_us,transfer_penalty_us,queue_delay_us,bandwidth_saturation_events,bytes_moved,bytes_avoided,multicast_saved_bytes,avoided_cross_rack_bytes,movement_energy_j,energy_per_token,topology_congestion_score,dedup_saved_bytes,compression_saved_bytes,eviction_count,prefix_hit_rate,prefetch_success_rate,estimated_ttft_delta_us,estimated_throughput_score,policy
1073741824000,1073741824000,85899345920,0,987842478080,0,0,404174.53727377916,7370535.793331521,0.0,37935,2061584302080,0,0,0,7.215545057272808,2.2020095999978053e-06,98.7890625,0,0,23552,0.0,1.0,0.0,0.01,Naive HBM+LRU
1073741824000,1073741824000,8388608000,0,1065353216000,0,0,46098.03385355656,7609257.368229352,0.0,23924,1073741824000,0,0,0,3.75809638400123,1.1468800000003753e-06,62.302083333333336,0,0,0,0.0,1.0,0.0,0.01,CXL Spill+LRU
1073741824000,552869655040,8388608000,544481047040,0,0,0,7920.596084054304,938562.7951442394,0.0,10128,552869655040,531502202880,531502202880,0,1.9350437926405541,5.905285011720441e-07,26.375,531502202880,520872168960,0,0.999921875,1.0,-531502.20288,1.4763692568860391,Semantic KV
